n_assets,emission_limit,recycling_min,feasible,total_cost_usd,total_emissions_kgco2,avg_recycling_eff,total_tokens,avg_latency_s,avg_gas_cost_usd,theta,rho_min,lambda_token,onchain_ratio,use_zkp
1000,63244.43483753175,0.65,1,3215.9629597636485,63195.52785576107,0.7662036997045604,129629.59763648295,0.6,0.048,0.6,0.75,8.0,0.2,1.0
1000,63244.43483753175,0.7000000000000001,1,3215.9629597636485,63195.52785576107,0.7662036997045604,129629.59763648295,0.6,0.048,0.6,0.75,8.0,0.2,1.0
1000,63244.43483753175,0.75,1,3215.9629597636485,63195.52785576107,0.7662036997045604,129629.59763648295,0.6,0.048,0.6,0.75,8.0,0.2,1.0
1000,68778.32288581578,0.65,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,68778.32288581578,0.7000000000000001,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,68778.32288581578,0.75,1,3208.817389614408,63322.43483753175,0.759695649357346,58173.89614407609,0.6,0.048,0.6,0.75,6.0,0.2,1.0
1000,74312.2109340998,0.65,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,74312.2109340998,0.7000000000000001,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,74312.2109340998,0.75,1,3208.817389614408,63322.43483753175,0.759695649357346,58173.89614407609,0.6,0.048,0.6,0.75,6.0,0.2,1.0
1000,79846.09898238383,0.65,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,79846.09898238383,0.7000000000000001,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,79846.09898238383,0.75,1,3208.817389614408,63322.43483753175,0.759695649357346,58173.89614407609,0.6,0.048,0.6,0.75,6.0,0.2,1.0
1000,85379.98703066786,0.65,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,85379.98703066786,0.7000000000000001,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,85379.98703066786,0.75,1,3208.817389614408,63322.43483753175,0.759695649357346,58173.89614407609,0.6,0.048,0.6,0.75,6.0,0.2,1.0
1000,90913.8750789519,0.65,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,90913.8750789519,0.7000000000000001,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,90913.8750789519,0.75,1,3208.817389614408,63322.43483753175,0.759695649357346,58173.89614407609,0.6,0.048,0.6,0.75,6.0,0.2,1.0
1000,96447.76312723591,0.65,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,96447.76312723591,0.7000000000000001,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,96447.76312723591,0.75,1,3208.817389614408,63322.43483753175,0.759695649357346,58173.89614407609,0.6,0.048,0.6,0.75,6.0,0.2,1.0
1000,101981.65117551996,0.65,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,101981.65117551996,0.7000000000000001,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,101981.65117551996,0.75,1,3208.817389614408,63322.43483753175,0.759695649357346,58173.89614407609,0.6,0.048,0.6,0.75,6.0,0.2,1.0
1000,107515.53922380398,0.65,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,107515.53922380398,0.7000000000000001,1,3191.65815285038,64324.83009708799,0.7032907642518981,6581.52850379623,0.3999999999999999,0.036,0.6,0.7,2.0,0.2,0.0
1000,107515.53922380398,0.75,1,3208.817389614408,63322.43483753175,0.759695649357346,58173.89614407609,0.6,0.048,0.6,0.75,6.0,0.2,1.0
