parameter,multiplier,baseline_value,new_value,base_total_cost_usd,new_total_cost_usd,pct_total_cost_usd,base_total_emissions_kgco2,new_total_emissions_kgco2,pct_total_emissions_kgco2,base_avg_recycling_eff,new_avg_recycling_eff,pct_avg_recycling_eff,base_total_tokens,new_total_tokens,pct_total_tokens,base_avg_latency_s,new_avg_latency_s,pct_avg_latency_s,base_avg_gas_cost_usd,new_avg_gas_cost_usd,pct_avg_gas_cost_usd
c_cm,0.8,40.0,32.0,4702.117389614407,4022.1173896144073,-14.46157004718597,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
c_cm,1.2,40.0,48.0,4702.117389614407,5382.117389614407,14.46157004718597,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
c_pm,0.8,8.0,6.4,4702.117389614407,4566.117389614406,-2.8923140094372135,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
c_pm,1.2,8.0,9.6,4702.117389614407,4838.117389614407,2.8923140094371944,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
downtime_cost,0.8,5.0,4.0,4702.117389614407,4608.617389614407,-1.9884658814880711,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
downtime_cost,1.2,5.0,6.0,4702.117389614407,4795.617389614407,1.9884658814880711,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
gas_usd_base,1.5,0.06,0.09,4702.117389614407,4756.117389614408,1.1484187978647877,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.19799999999999998,37.5
gas_usd_base,0.5,0.06,0.03,4702.117389614407,4648.117389614407,-1.1484187978647682,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.09,-37.5
gas_usd_zkp_overhead,1.5,0.02,0.03,4702.117389614407,4720.117389614407,0.3828062659549228,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.16199999999999998,12.499999999999993
gas_usd_zkp_overhead,0.5,0.02,0.01,4702.117389614407,4684.117389614408,-0.3828062659549034,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.12599999999999997,-12.500000000000012
token_cost_per_token,2.0,0.0001,0.0002,4702.117389614407,4712.734779228816,0.2258001818044553,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
token_cost_per_token,0.5,0.0001,5e-05,4702.117389614407,4696.808694807204,-0.1129000909022083,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
avoided_factor,0.8,1.0,0.8,4702.117389614407,4702.117389614407,0.0,63244.43483753175,66238.4478700254,4.734033974981276,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
avoided_factor,1.2,1.0,1.2,4702.117389614407,4702.117389614407,0.0,63244.43483753175,60250.4218050381,-4.734033974981276,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
emission_factor,0.85,4.0,3.4,4702.117389614407,4702.117389614407,0.0,63244.43483753175,51544.43483753175,-18.499651439776574,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
emission_factor,1.15,4.0,4.6,4702.117389614407,4702.117389614407,0.0,63244.43483753175,74944.43483753175,18.499651439776574,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
latency_base,0.8,0.35,0.27999999999999997,4702.117389614407,4702.117389614407,0.0,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.6299999999999999,-10.000000000000009,0.144,0.144,0.0
latency_base,1.2,0.35,0.42,4702.117389614407,4702.117389614407,0.0,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.77,10.000000000000009,0.144,0.144,0.0
latency_zkp_overhead,0.8,0.2,0.16000000000000003,4702.117389614407,4702.117389614407,0.0,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.66,-5.714285714285704,0.144,0.144,0.0
latency_zkp_overhead,1.2,0.2,0.24,4702.117389614407,4702.117389614407,0.0,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.74,5.71428571428572,0.144,0.144,0.0
panel_mass_kg,0.9,19.5,17.55,4702.117389614407,4702.117389614407,0.0,63244.43483753175,56919.991353778576,-9.999999999999998,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
panel_mass_kg,1.1,19.5,21.450000000000003,4702.117389614407,4702.117389614407,0.0,63244.43483753175,69568.87832128494,10.000000000000021,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
zkp_prove_base,0.8,1.2,0.96,4702.117389614407,4702.117389614407,0.0,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
zkp_prove_base,1.2,1.2,1.44,4702.117389614407,4702.117389614407,0.0,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
zkp_verify_base,0.8,18.0,14.4,4702.117389614407,4702.117389614407,0.0,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
zkp_verify_base,1.2,18.0,21.599999999999998,4702.117389614407,4702.117389614407,0.0,63244.43483753175,63244.43483753175,0.0,0.767695649357346,0.767695649357346,0.0,106173.89614407612,106173.89614407612,0.0,0.7,0.7,0.0,0.144,0.144,0.0
